Date,Price,Open,High,Low
"Dec 24, 2018",70.105,70.151,70.296,69.873
"Dec 25, 2018",70.05,70.05,70.05,70.05
"Dec 26, 2018",70.07,70.065,70.17,69.755
"Dec 27, 2018",70.361,70.088,70.404,70.088
"Dec 28, 2018",69.933,70.151,70.151,69.885
"Dec 31, 2018",69.57,69.783,69.946,69.57
"Jan 01, 2019",69.453,69.635,69.745,69.435
"Jan 02, 2019",70,69.469,70.255,69.469
"Jan 03, 2019",70.11,70.3,70.531,70.034
"Jan 04, 2019",69.55,70.115,70.145,69.55
"Jan 07, 2019",69.803,69.532,69.953,69.255
"Jan 08, 2019",70.14,69.806,70.24,69.765
"Jan 09, 2019",70.56,70.11,70.648,70.05
"Jan 10, 2019",70.42,70.53,70.655,70.318
"Jan 11, 2019",70.399,70.43,70.601,70.357
"Jan 14, 2019",70.76,70.4,70.95,70.36
"Jan 15, 2019",71.1,70.75,71.156,70.723
"Jan 16, 2019",70.98,71.11,71.265,70.934
"Jan 17, 2019",71.05,71.146,71.416,70.972
"Jan 18, 2019",71.21,71.04,71.274,70.987
"Jan 21, 2019",71.188,71.205,71.538,71.14
"Jan 22, 2019",71.26,71.197,71.466,71.165
"Jan 23, 2019",71.19,71.24,71.37,71.115
"Jan 24, 2019",71,71.147,71.315,70.955
"Jan 25, 2019",70.9,71.04,71.25,70.89
"Jan 28, 2019",71.07,70.92,71.196,70.915
"Jan 29, 2019",71.39,71.085,71.461,71.026
"Jan 30, 2019",71.235,71.423,71.423,71.123
"Jan 31, 2019",70.96,70.959,71.215,70.865
"Feb 01, 2019",71.435,71.115,71.485,70.952
"Feb 04, 2019",71.71,71.469,71.845,71.462
"Feb 05, 2019",71.53,71.714,71.812,71.528
"Feb 06, 2019",71.55,71.52,71.683,71.492
"Feb 07, 2019",71.3,71.639,71.769,71.271
"Feb 08, 2019",71.175,71.395,71.434,71.015
"Feb 11, 2019",71.14,71.24,71.301,71.038
"Feb 12, 2019",70.535,71.254,71.254,70.515
"Feb 13, 2019",70.875,70.541,70.88,70.397
"Feb 14, 2019",71.02,70.869,71.233,70.8
"Feb 15, 2019",71.33,71.028,71.464,71.028
"Feb 18, 2019",71.387,71.335,71.537,71.326
"Feb 19, 2019",71.3,71.351,71.602,71.251
"Feb 20, 2019",71.01,71.32,71.344,70.933
"Feb 21, 2019",71.165,71.061,71.28,70.925
